Course Title,Description,Subject,Modality,Course Link
CS50: Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,Programming,Online,https://pll.harvard.edu/course/cs50-introduction-computer-science
CS50's Introduction to Programming with Scratch,A gentle introduction to programming that prepares you for subsequent courses in coding.,Computer Science,Online,https://pll.harvard.edu/course/cs50s-introduction-programming-scratch
CS50's Introduction to Programming with Python,"An introduction to programming using Python, a popular language for general-purpose programming, data science, web programming, and more.",Programming,Online,https://pll.harvard.edu/course/cs50s-introduction-programming-python
CS50's Web Programming with Python and JavaScript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.",Programming,Online,https://pll.harvard.edu/course/cs50s-web-programming-python-and-javascript
CS50 for Lawyers,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law students).",Computer Science,Online,https://pll.harvard.edu/course/cs50-lawyers
CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,Computer Science,Online,https://pll.harvard.edu/course/cs50s-introduction-artificial-intelligence-python
CS50's Introduction to Cybersecurity,"Learn how to protect your own data, devices, and systems from today's threats.",Computer Science,Online,https://pll.harvard.edu/course/cs50s-introduction-cybersecurity
CS50's Introduction to Databases with SQL,"Learn how to create, read, update, and delete data with relational databases.",Computer Science,Online,https://pll.harvard.edu/course/cs50s-introduction-databases-sql
Fundamentals of TinyML,"Focusing on the basics of machine learning and embedded systems, such as smartphones, this course will introduce you to the “language” of TinyML.",Computer Science,Online,https://pll.harvard.edu/course/fundamentals-tinyml
Applications of TinyML,"Get the opportunity to see TinyML in practice. You will see examples of TinyML applications, and learn first-hand how to train these models for tiny applications such as keyword spotting, visual wake words, and gesture recognition.",Computer Science,Online,https://pll.harvard.edu/course/applications-tinyml
Deploying TinyML,"Learn to program in TensorFlow Lite for microcontrollers so that you can write the code, and deploy your model to your very own tiny microcontroller. Before you know it, you’ll be implementing an entire TinyML application.",Computer Science,Online,https://pll.harvard.edu/course/deploying-tinyml
Computer Science for Lawyers,Gain a deep understanding of the legal ramifications of clients’ technological decisions and policies.,Social Sciences,Online,https://pll.harvard.edu/course/computer-science-lawyers
Using Python for Research,Take your introductory knowledge of Python programming to the next level and learn how to use Python 3 for your research.,Computer Science,Online,https://pll.harvard.edu/course/using-python-research
Data Science: Machine Learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,Computer Science,Online,https://pll.harvard.edu/course/data-science-machine-learning
AI Essentials for Business,This course from Harvard Business School (HBS) Online will teach you how to compete in the age of AI.,Business,Online,https://pll.harvard.edu/course/ai-essentials-business
